wavelength,x_bar,y_bar,z_bar
360,0.000000122200,0.000000013398,0.000000535027
361,0.000000185138,0.000000020294,0.000000810720
362,0.00000027883,0.00000003056,0.00000122120
363,0.00000041747,0.00000004574,0.00000182870
364,0.00000062133,0.00000006805,0.00000272220
365,0.00000091927,0.00000010065,0.00000402830
366,0.00000135198,0.00000014798,0.00000592570
367,0.00000197654,0.00000021627,0.00000866510
368,0.0000028725,0.0000003142,0.0000125960
369,0.0000041495,0.0000004537,0.0000182010
370,0.0000059586,0.0000006511,0.0000261437
371,0.0000085056,0.0000009288,0.0000373300
372,0.0000120686,0.0000013175,0.0000529870
373,0.0000170226,0.0000018572,0.0000747640
374,0.000023868,0.000002602,0.000104870
375,0.000033266,0.000003625,0.000146220
376,0.000046087,0.000005019,0.000202660
377,0.000063472,0.000006907,0.000279230
378,0.000086892,0.000009449,0.000382450
379,0.000118246,0.000012848,0.000520720
380,0.000159952,0.000017364,0.000704776
381,0.000215080,0.000023327,0.000948230
382,0.00028749,0.00003115,0.00126820
383,0.00038199,0.00004135,0.00168610
384,0.00050455,0.00005456,0.00222850
385,0.00066244,0.00007156,0.00292780
386,0.00086450,0.00009330,0.00382370
387,0.00112150,0.00012087,0.00496420
388,0.00144616,0.00015564,0.00640670
389,0.00185359,0.00019920,0.00821930
390,0.0023616,0.0002534,0.0104822
391,0.0029906,0.0003202,0.0132890
392,0.0037645,0.0004024,0.0167470
393,0.0047102,0.0005023,0.0209800
394,0.0058581,0.0006232,0.0261270
395,0.0072423,0.0007685,0.0323440
396,0.0088996,0.0009417,0.0398020
397,0.0108709,0.0011478,0.0486910
398,0.0131989,0.0013903,0.0592100
399,0.0159292,0.0016740,0.0715760
400,0.0191097,0.0020044,0.0860109
401,0.022788,0.002386,0.102740
402,0.027011,0.002822,0.122000
403,0.031829,0.003319,0.144020
404,0.037278,0.003880,0.168990
405,0.043400,0.004509,0.197120
406,0.050223,0.005209,0.228570
407,0.057764,0.005985,0.263470
408,0.066038,0.006833,0.301900
409,0.075033,0.007757,0.343870
410,0.084736,0.008756,0.389366
411,0.095041,0.009816,0.437970
412,0.105836,0.010918,0.489220
413,0.117066,0.012058,0.542900
414,0.128682,0.013237,0.598810
415,0.140638,0.014456,0.656760
416,0.152893,0.015717,0.716580
417,0.165416,0.017025,0.778120
418,0.178191,0.018399,0.841310
419,0.191214,0.019848,0.906110
420,0.204492,0.021391,0.972542
